samples	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	Type	Patient	Flattening	Batch
s24	14.0133737759976	-13.6829206125015	4.75886568589001	17.2788735218222	6.6282114795735	16.4132956733117	24.3050264956954	4.12969602320237	20.7643688269986	-6.57864763069997	-14.045045803896	-5.12044182770924	-4.24260034437572	-3.55477581106456	-8.55868478980101	-3.45734669869485	4.92362638022944	-2.68549587321578	-9.93327649006154	-6.56355989048351	-0.845789533560914	-1.4417903146866	-0.736270209341322	1.35296545307889	-0.974746161805781	0.436513238915553	-6.66133814775094e-15	E-GSC	GBM05C	Yes	b2
s11	8.88866674745956	-0.591349500647724	-22.8390110576121	24.0434681432059	-19.2007335245738	0.551499838747898	8.26907178979154	-1.16251074571617	-4.51573744227051	5.88262016166415	-0.842409543951049	5.90637683498997	6.88559822795634	-0.0101481839678115	-0.807549322199914	1.25018357591887	1.58777099349266	-2.71428482675179	1.59912571673637	-0.259553940317471	0.0973904699562027	-1.54879693757876	1.88963233998044	3.4413747472694	4.85300921611177	-12.2245409863933	-1.69378400194375e-14	E-GSC	LE13	No	b1
s2	44.3935228557838	-26.6421946397509	5.74154814220562	21.7832138525125	15.2416341155228	-27.3113440730449	-16.1880573594593	-0.794280955522709	-2.12190838267126	-15.3459822783366	-6.39132590469691	1.2129259250262	-2.18961842055728	9.57379936499713	-2.50126381430721	-1.40344728178259	-1.7345429296886	1.40220503574778	2.3322611082279	-5.87013551938635	9.79444780846524	2.49458129744792	5.92436772220346	3.36091884740985	-1.4151489178653	0.0254642242927974	2.89213097914853e-14	NS	R008	Yes	b1
s25	36.8057070644642	-18.6977596672593	14.0472330069428	7.10668403204828	16.1928961564429	21.4670692754066	15.6396255926595	1.86450115171439	11.7172750636664	-5.18157326064247	0.473973557912137	-7.34253238006945	-5.04349932814785	-3.97447812638131	5.45112097685746	6.88174572770641	-9.26643897401783	3.63744607413255	12.5207774754274	8.15586270089715	2.39645078227736	-0.0832458017043851	2.94051910615135	-0.677481797158629	0.431763548712555	-0.786263428348993	4.16056078478277e-14	NS	GBM05C	Yes	b2
s3	57.6990453964793	15.5625353479434	9.65811802144392	-36.6358015202364	-19.0129651873384	-13.1645703457257	-1.01941215438863	-3.899094380391	-7.64186810702358	-4.09385246810844	-3.97184754736802	-17.1623231316844	13.2829761103762	-10.6729687038704	-7.02531900664078	0.940570089584502	5.40550735717919	-4.8001417837325	3.71500349350781	1.41413643124062	3.25963881428083	-1.86688083621147	0.0272632721513731	-0.435595674982522	-0.275036182377196	1.11918223505375	1.38222766565832e-14	differentiated	R008	Yes	b1
s4	23.435530164728	11.4974938791493	-15.5057025195522	1.77568094943474	3.98761909385153	-3.52719433856168	-5.03320711241423	5.56099909997039	14.7678010947833	28.5275461532306	16.2008634632237	-9.90077955777052	-2.79832673720093	10.4831319873253	-7.30901280115151	-7.20430697473225	-1.33551431906348	-5.16540800111456	1.45902828732842	1.22829626538796	1.07951356381652	0.593175985096078	1.29931818228503	0.503892024267029	-0.703253100196348	0.662470567415318	3.05727665406152e-14	L-GSC	R008	Yes	b1
s5	54.818022055401	-19.1099695500288	10.15558218125	14.8931985762684	10.911717210821	-18.6667739710591	-17.6069719126167	-0.101207735573497	5.74478345058242	6.2658002220595	10.5079804613921	0.780246582718823	-9.00830450075923	-18.5572645082784	8.05609245157705	-0.354757900398103	4.14542932596725	4.16724142841694	-5.05792768513459	-1.93974412725102	-3.91284086166161	0.683869991415143	-0.304246318648578	-0.948326851115088	1.56146847139483	-1.22648070265492	6.74807432154978e-15	NS-GSC	R008	Yes	b1
s13	35.4880143142343	3.00283394273184	-12.0258522075202	5.02405974621883	-19.828730464443	-9.12546846783882	7.97417345626072	6.56863847988204	-4.32786477566579	0.69515618807525	2.07170407481455	-0.204024895586705	10.8360255721659	1.36905856703054	-2.56318469511962	2.52217952447609	-14.8470284291308	10.9934523496212	-10.1548389964487	1.67292541915554	-5.13877438985659	4.45570084110387	1.47918885874012	0.487046186877604	-2.61562540243566	1.3675424846746	-5.39845945723982e-15	differentiated	LE13	No	b1
s7	-19.5420321944119	28.1458049208727	-44.8187607204579	-8.24625769220413	27.3777749267305	-5.66286266290259	14.9814109102561	-3.67647531320184	-13.7932191308756	-9.90817874235709	10.9163008154506	-6.44212178684257	-3.39915196937495	0.354872042474277	0.869046917628499	-0.725687602327653	0.0664009076553129	-0.328211653581615	6.32604545362867	-10.1177466672451	-9.44277554623901	0.314970258319579	1.87645820911592	1.00872377451589	-1.66082671405723	-0.165979977468063	2.73947531326257e-14	NS	R004	Yes	b1
s6	-12.5153268488042	24.5035956108557	-35.0629599029236	-6.00753389828623	16.654849858852	-5.87017891754141	10.3870855967909	-2.47893793582889	-4.34349358040653	0.483631898573275	-3.96624291351246	10.2134226949752	-2.7795150628388	-5.2364698277481	-2.81600131718073	-1.87208745030165	3.28957809271816	-6.21044410331429	-2.4961585416339	8.12661933357544	4.01253113809219	14.0303138564137	2.71416666075275	-3.42819567355964	0.930896974458207	1.07991575550125	5.05151476204446e-15	E-GSC	R004	Yes	b1
s8	35.3904218568798	28.6202465509982	2.18952757047721	-42.7239018769314	-21.894800789624	-10.0044507573029	3.93194756664111	-6.41280073901364	-5.00570065358972	9.69833063879971	-17.8572686162963	1.674454998254	-20.3461447566348	6.15023207985096	4.31766168307034	1.01412675477182	-2.03230470956339	2.86486733903657	-0.316626091862389	-0.548401600046051	-1.59880536064944	-2.26456606919978	-0.412408111506252	0.193035897345431	0.961922380546476	-0.775170346853635	3.08364445089637e-14	differentiated	R004	Yes	b1
s10	-17.4259293344487	28.1330993419866	-41.385556398509	-10.9482378265949	26.6480349205722	0.781746939966424	-1.0432465622844	-3.26403244593158	-3.55021291521993	-6.20712105590877	6.46866947608013	3.22968069269166	-1.34453727486441	-2.03457010529311	-2.96213280962839	-2.2450531432701	-2.01655952729858	5.26374845946812	-6.91694508054047	6.79794133841831	8.20061026062916	-12.2333949210886	-4.17539149316512	2.03756198002145	0.41084993387203	-0.140675875577874	4.39370761995406e-14	NS-GSC	R004	Yes	b1
s14	-27.2731388941482	4.67093682839469	-32.5026228766176	18.8384626760308	-30.9957075093769	32.8384393311607	-28.2898996430106	-8.96441610727442	-2.22740666908317	-14.9745321647815	0.728798044077103	-9.72652184601899	-8.46512811524703	-0.126464683007443	-4.02372374424501	-3.7770266169381	-1.38283637220476	-0.194910064392326	-1.00343764682556	2.37674058639597	-2.3532960375844	3.07764235796077	0.182769991039475	-0.776615961989726	0.463378766369189	-0.248531084048849	-1.53071999520193e-14	L-GSC	LE13	No	b1
s9	-20.6620910517717	32.8378630234912	-35.4062853367588	-20.2080231630781	19.9306112684779	8.70698870389279	-22.9111551103842	6.32324874291829	19.7615843568694	5.27524399255567	-15.3236889882428	2.53899691260883	12.8698374807417	0.820681214072401	6.4033785238031	7.12183630264464	0.24888492370407	2.01861517479043	2.09985184128458	-4.3216214445218	-2.03127703181447	0.909669432508608	-0.254701577459427	-0.63761765975366	0.295060844767695	-0.24262920512157	1.05054853705155e-14	L-GSC	R004	Yes	b1
s12	3.96754329962583	-5.63841538994712	-25.3460131374559	33.1483156968456	-17.4829573404102	-1.07528735699423	10.1731108389053	-1.24069878892767	-4.80924138893885	4.66148464595901	0.954357979244243	-0.512578135984689	2.9704170611204	3.34813616648591	5.03766770459058	2.07576901709906	1.83435478771089	2.92784269245263	1.90748281615631	-6.26530320799365	5.51325307449605	-2.51579080406628	-2.94404574902989	-8.83724987624294	6.81140244744019	5.32854962827131	2.75474087985117e-15	NS	LE13	No	b1
s1	34.3192314323254	-20.3793641757479	-0.434438977570814	21.4223230439289	7.16816638571459	-21.586880229784	-4.01599376003601	0.623137403002197	2.8125273844344	-10.1286672524177	-6.24236360617001	5.57043315747882	2.34432802493439	7.48176122500472	-2.22044587035414	-1.44657477696009	0.752877724013299	-7.49714310001121	3.36116836964223	8.64140190630817	-10.8799890898877	-3.74071495419307	-8.11882185243252	-2.24785034665593	-0.10170230679138	1.06704324436014	2.97956104233776e-14	E-GSC	R008	Yes	b1
s15	-1.92556087372306	-0.0299945517233848	-24.9179303195757	26.6831268509726	-26.2040238907996	5.55332657850496	3.8758927138445	-3.11039345846246	-2.3988466030915	9.26144225564503	-0.587590214656072	10.2115143287689	0.375023221394951	-5.45751012296045	6.02313569568414	3.39680084865052	3.78769598066312	-3.81941285523526	4.61854956888589	0.0220129423943731	2.08636679846699	-2.75708643856495	0.0371415458122559	5.78069475669791	-9.30289269437368	4.43870587969413	3.10307335382731e-14	NS-GSC	LE13	No	b1
